201501 01FEB10
201502 15MAR10
201503 01SEP10
201504 01APR11
201505 01JUN12
201506 01JUN13
201507 01OCT13
201508 15DEC13
201509 01JAN06
201510 01JAN12	01SEP15
201511 01FEB12	01JAN13
201512 01FEB12	01JAN13
201601 01FEB12	01JAN13
201602 01MAR12	01JAN13
201603 01AUG12	01JUN13
201604 01SEP12	01JUN13
201605 01SEP12	01JUN13
201606 01JAN10	01JUN13
201607 01JAN10	01JUN13
201608 01FEB14	01JUN13
201609 01FEB14	01JUN13
201610 15FEB12	01MAR13
201611 15JUL12	01MAR13
201612 22SEP12	01MAR13
201701 15OCT12	01MAR13
201702 15NOV12	01MAR13
201703 15DEC12	01MAR13
201704 15JAN13	01MAR13
201705 08FEB13	01OCT13
201706 01MAR13	01OCT13
201707 22MAR13	01OCT13
201708 22APR13	01OCT13
201709 15MAY13	01OCT13
201710 22MAY13	15NOV13
